Title,Section,Ingredients,Instruction,Variations,Nutrition Information
Cargols a la llauna,Cargols,2 kg de cargols. Sal. Pebre. Oli.,"Traieu el tel dels cargols i poseu-los cap per amunt en una llauna amb sal, pebre i oli.
	Col·loqueu la llauna sobre el foc o al forn a fi que vagin coent lentament.","Hi ha qui, quan els cargols treuen la bava, hi torna a posar sal, pebre i oli.
	S’hi pot posar pebre vermell.
	S’hi poden afegir herbes picades per sobre (romaní, farigola, orenga, etc.)
	S’hi pot afegir una picada d’all i julivert.
	Es poden flamejar amb conyac.
	Es poden acompanyar amb allioli, salsa de romesco, vinagreta de tomàquet, vinagreta de sal i pebre, vinagreta de pebre vermell dolç, o faves bullides, desgranades i escorregudes.","{'Energia (kcal)': {'Per ració': '197,', '%QDO': '9,85%'}, 'Proteïnes (g)': {'Per ració': '19,7', '%QDO': '39,40%'}, 'Greix total (g)': {'Per ració': '11,7', '%QDO': '16,71%'}, 'Hidrats de Carboni totals (g)': {'Per ració': '3', '%QDO': '1,11%'}, 'Fibra dietètica (g)': {'Per ració': '0,4', '%QDO': '1,33%'}, 'AGS (g)': {'Per ració': '1,9', '%QDO': '9,50%'}, 'AGM (g)': {'Per ració': '7,6', '%QDO': ''}, 'AGP (g)': {'Per ració': '1,1', '%QDO': ''}, 'Colesterol (mg)': {'Per ració': '60', '%QDO': '20,00%'}, 'Ferro (mg)': {'Per ració': '42,2', 'QDR': '14'}, 'Magnesi (mg)': {'Per ració': '307', 'QDR': '300'}, 'Fòsfor (mg)': {'Per ració': '329', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,48', 'QDR': '1'}}"
Coca de Sant Joan,Postres i dolços,"250 g de farina de força

	200 g de fruites confitades (meló, taronja, cireres, etc.)

	75 g de llet

	55 g de mantega tova

	55 g de sucre

	25 g de pinyons

	20 g de llevat premsat

	2 ous

	1/2 copa d’anís

	Pell de llimona ratllada

	Sal / Sucre / Oli o mantega","Desfeu el llevat amb la llet una mica calenta.

	Afegiu-hi 3 cullerades de farina i treballeu-ho fins a fer una massa llisa; deixeu-ho reposar fins que dobli el volum.

	Feu un volcà sobre el marbre amb la farina i poseu al centre la mantega, els ous, el sucre, la sal, la ratlladura de llimona i l’anís.

	Treballeu amb la mà o amb una forquilla els ingredients del mig, afegiu-hi la massa fermentada i continueu treballant-ho amb la farina fins a obtenir una massa fina i compacta.

	Estireu-la sobre una placa de forn untada amb oli o mantega. Ha de tenir un gruix d’1 cm aproximadament i forma ovalada.

	Pinteu-ho amb ou i col·loqueu-hi al damunt les fruites confitades, tallades a trossos, i deixeu-ho reposar fins que dobli el volum.

	Repartiu-hi els pinyons per sobre, tireu-hi sucre pel damunt i coeu-ho al forn a 180º uns 20 minuts.","Abans de col·locar-hi la fruita es pot posar una capa finíssima de massapà rebaixat amb una mica de clara d’ou.

	S’hi pot posar crema després de deixar llevar la massa amb les fruites.

	S’hi poden afegir espècies (comí, canyella, anís estrellat, etc.) a la massa, ben triturades.

	Es pot fer sense fruita confitada.

	Es pot farcir de crema, cabell d’àngel, etc.","{'Agua (g)': {'Per a mitja ració': '47', '%QDO': ''}, 'Energía (kcal)': {'Per a mitja ració': '366', '%QDO': '18,30%'}, 'Proteínas (g)': {'Per a mitja ració': '12,7', '%QDO': '25,40%'}, 'Grasa total (g)': {'Per a mitja ració': '11,45', '%QDO': '16,36%'}, 'Hidratos de carbono totales (g)': {'Per a mitja ració': '48,4', '%QDO': '17,93%'}, 'Fibra dietética (g)': {'Per a mitja ració': '3,4', '%QDO': '11,33%'}, 'Grasa saturada (AGS) (g)': {'Per a mitja ració': '5,25', '%QDO': ''}, 'Grasa monoinsaturada (AGM) (g)': {'Per a mitja ració': '3,5', '%QDO': ''}, 'Grasa poliinsaturada (AGP) (g)': {'Per a mitja ració': '1,8', '%QDO': '26,25%'}, 'Colesterol (mg)': {'Per a mitja ració': '75', '%QDO': '25%'}, 'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Llapí amb naps,Carns,"1 llapí (conill)
¼ kg de naps.
1 ceba.
3 grans d’all.
2 tomàquets.
Llorer.
Oli.
Sal.
Farina.
Aigua.","En una paella  amb oli fregiu els trossos de conill, enfarinats i salats. Reserveu-los. 
En  el mateix oli fregiu els naps, pelats, partits, salats i enfarinats.  Reserveu-los. 
Amb l’oli sobrant feu el sofregit amb la ceba, els alls i els tomàquets. 
Poseu en  una cassola el conill, els naps, el sofregit, el llorer i una mica d’aigua i ho deixeu coure fins que el conill sigui tou.",,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Arengada a la porta,Peixos i mariscs,"Per a 1 persona:

	1 Arengada","Agafeu una arengada de bona mida i emboliqueu-la amb 2 fulls de paper de diari.

	Poseu-la cap enfora en un llindar d’una porta gruixuda.

	Ajusteu la porta tot pressionant el paquet.

	Traieu el paper i llenceu-lo; haureu aconseguit escatar l’arengada (gran part de la pell es queda al paper), treure’n la tripa (que heu de llençar), separar la carn de l’espina i esfilagarsar la carn del peix.","Es pot acompanyar amb raïm, amb amanida, etc.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Asmarris de verat,Peixos i mariscs,"1 kg de verat.
3 alls sencers.
4 tomàquets sencers.
3 llesques de pa.
Julivert.
Uns brins de safrà.
Oli.
Sal.
Aigua.","En una cassola fregiu els alls i reserveu-los. 
En el mateix oli fregiu les llesques de pa, els tomàquets i el julivert, i reserveu-ho.
Piqueu els alls, el pa, el julivert, el safrà i els tomàquets.
Afegiu-ho a la cassola, poseu-ho a punt de sal i deixeu-ho coure un moment.
Poseu-hi el verat, una mica d’aigua si fa falta i feu-ho coure fins que el verat estigui al seu punt.","Es poden afegir patates al guisat.
Es pot afegir unes nyores a la picada.
Es pot fer una reducció de vi abans de posar-hi el verat.
Es pot fer amb seitó o amb sardines en comptes de verat.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Espines d'anxoves fregides,Peixos i mariscs,"40 anxoves.
100 g de farina.
Llet.
Oli.","Netegeu les anxoves i guardeu-ne les espines.
Deixeu les espines en remull amb llet mitja hora.
Enfarineu-les i fregiu-les amb abundant oli calent.
Escorreu-les sobre un tovalló de paper i serviu-les calentes.",,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Salsitxes amb samfaina,Carns,"8 salsitxes.
Samfaina.
Oli.
Sal.
Pebre.","Salpebreu les salsitxes i fregiu-les amb oli; escorreu-les. 
Afegiu-les a la samfaina i deixeu-ho coure una estona.",,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Bunyols de cargols,Cargols,"1 kg de cargols grans.
150 g de farina.
20 cl de llet.
1 ceba.
4 alls.
Una mica de llevat en pols.
Julivert.
Oli.
Sal.
Aigua.","Bulliu els cargols segons la recepta de  cargols a la cassola i buideu-los.
Feu un sofregit amb la ceba, els alls i el julivert.
Afegiu-hi els cargols i remeneu-ho.
Feu una pasta amb la farina, la llet i el llevat, i barregeu-hi els cargols amb el sofregit; rectifiqueu de sal.
Fregiu els bunyols amb oli fins que quedin rossos i cruixents.",En comptes de llevat s’hi pot posar una mica de cervesa o de sifó.,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Allioli,Salses,"2 grans d’all

	15 cl d’oli d’oliva

	Sal","En un morter amb una mica de sal, piqueu-hi els alls fins a fer-ne una pasta molt fina. A continuació afegiu-hi l’oli de gota en gota i aneu-ho remenant sense parar amb la mà de morter, fins a aconseguir una salsa ben espessa i compacta.",S’hi pot afegir un rovell d’ou abans de començar a muntar la salsa. Es pot muntar amb una batedora elèctrica.,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Botifarra dolça,Carns,"600 g de botifarra dolça.
1 branca de canyella.
1 pela de llimona.
Garnatxa.
Sal.
Oli.
Llard.
Aigua.","En una cassola amb l’oli i el llard enrossiu bé les botifarres.
Afegiu-hi una branca de canyella, una pela de llimona, una mica de garnatxa i aigua calenta fins que gairebé les cobreixi.
Deixeu-ho coure a poc a poc fins que es beguin l’aigua.",Es pot acompanyar aquest plat amb poma (vegeu Botifarra dolça amb poma).,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Conill a la caçadora,Carns,"1 conill trossejat.
:
16 cebes petites.
200 g de bolets.
Herbes aromàtiques.
Oli o llard.
Sal.

Per fer la picada:
Julivert.
2 grans d'all.
El fetge del conill.
Un grapadet d’ametlles.
1 llesca de pa.
Vi ranci.","Fregiu els alls, el fetge i una llesca de pa en una cassola amb oli i llard. 
Feu una picada al morter amb aquests ingredients fregits i les ametllets.
En la mateixa cassola enrossiu el conill salat i les cebetes.
Mulleu amb aigua o brou de carn i quan bulli afegiu-hi les herbes i els bolets. 
Deixeu-ho coure a poc a poc i quan faltin 10 minuts afegiu-hi la picada deixatada amb el vi ranci.","Es pot acompanyar de cargols o de bolets.
Es pot guarnir la cassola amb llesques de pa fregit.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Arengades amb tomàquet,Peixos i mariscs,"4 arengades

	3 tomàquets

	2 grans d’all

	Farina / Oli

	Sal / Aigua","Poseu les arengades en remull amb aigua freda durant 4 o 5 hores. 

	Escorreu-les, eixugueu-les, enfarineu-les, fregiu-les i reserveu-les.

	Feu un sofregit amb l’all i el tomàquet, afegiu-hi les arengades i deixeu-ho coure tot junt uns instants.","S’hi poden afegir mongetes bullides, saltades amb els alls.

	Es pot menjar amb patates bullides.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Cóc de mel,Postres i dolços,"30 cl d’oli.
10 cl d’aiguardent.
Farina.
1 kg de mel.
Per fer el farcit:
1 l d’oli.
4 ous.
900 g de farina.
½ kg de sucre.","Barregeu l’oli, l’aiguardent i farina fins aconseguir una pasta ben fina.
Folreu amb aquesta pasta totes les parts d’una llauna i poseu-la al forn 10 minuts.
Amb els ingredients del farcit feu una pasta ben lleugera, disposeu-la dins de la llauna folrada i poseu-ho al forn, ben calent al començament i després abaixeu la temperatura.
Quan el cóc adquireixi un to daurat, traieu-lo del forn immediatament i tireu-hi la mel per sobre.","Es pot substituir l’aiguardent, totalment o en part, per mistela.
Es pot tirar la mel al cóc en diverses vegades i tornar-lo a posar al forn cada cop.
Es pot afegir ametlla ratllada al farciment.
També s’hi pot afegir ratlladura de llimona.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Pop amb pataca,Peixos i mariscs,"800 g de pop trossejat.
3 cebes tallades a la juliana.
2 tomàquets ratllats.
1 culleradeta de pebre vermell.
1 kg de pataca (patata).
Una copa de vi blanc.
Oli.
Sal.
Aigua.","Feu un sofregit amb la ceba i el tomàquet en una cassola amb oli; quan sigui concentrat poseu-hi el pebre vermell i tot seguit el vi.
Deixeu reduir el vi i afegiu-hi el pop, cobriu-lo d’aigua i deixeu-ho bullir fins que sigui tou.
Quan falti poc per acabar, afegiu-hi les patates esbocinades i acabeu-ho de coure.
Poseu-ho a punt de sal .",Es pot acompanyar d’allioli.,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
"Platillo de naps, castanyes i menuts d'ànec",Carns,"Menuts d’ànec.
750 g de castanyes torrades.
700 g de naps.
1 ceba.
2 tomàquets.
Oli.
Un pessic de canyella.
Un polsim de farigola.
Un raig de conyac.
Per fer la picada:
2 alls.
Julivert.
2 borregos o galetes.
Aigua.
Sal.","Bulliu els naps pelats i tallats, enfarineu-los i fregiu-los.
Rostiu els menuts de l’ànec en una cassola amb oli i reserveu-los.
En la mateixa cassola feu un sofregit amb la ceba i el tomàquet.
Amaniu-lo amb canyella i farigola, i feu-hi la reducció del conyac.
Afegiu-hi els menuts, les castanyes pelades i aigua fins que ho cobreixi.
Feu-ho coure i quan faltin uns 10 minuts per acabar afegiu-hi els naps i la picada.","Es pot fer amb tocino, en lloc de menuts d’ànec.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Conill amb pebrot i tomaca,Carns,"1 conill trossejat.
1 ceba trinxada.
4 tomàquets ratllats.
1 pebrot vermell tallat.
Oli.
Sal.
Pebre.
Per fer la picada:
Un grapadet d’ametlles torrades.
2 grans d’all.","Enrossiu el conill salpebrat en una cassola amb oli i llard i reserveu-lo.
En el mateix oli feu un sofregit amb la ceba, el pebrot i el tomàquet.
Poseu-hi el conill i aigua que el cobreixi.
Deixeu-ho coure a foc lent i uns 15 minuts abans d’acabar la cocció afegiu-hi la picada.
Poseu-ho a punt de sal i pebre.",El pebrot s’hi pot posar escalivat.,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Bacallà amb bunyols de bròquil,Peixos i mariscs,"800 g de bacallà dessalat.
Mig bròquil.
2 cebes trinxades.
2 ous durs.
Farina.
Oli.
Sal.
Aigua.
Per fer la picada:
Uns brins de safrà.
3 grans d’all.
Un grapadet d’ametlles.
Julivert.","Enfarineu el bacallà, fregiu-lo i reserveu-lo.
Bulliu, enfarineu i fregiu el bròquil, i reserveu-lo.
Feu un sofregit amb la ceba en una cassola amb oli i quan estigui rossa afegiu-hi el bacallà, la picada i una mica d’aigua.
Deixeu-ho bullir tot junt i a l’últim moment afegiu-hi el bròquil i els ous durs.",El bròquil es pot arrebossar amb farina i ou.,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Codonyar,Postres i dolços,"Codonys madurs.
Aiguardent (anís, rom, conyac).
Canyella.
Clau d’olor.
Nou moscada.","Peleu els codonys, trinxeu-los en una picadora, poseu-los dins d’una gasa i espremeu-los per treure el suc.
Si el suc no surt prou clar, el podeu tornar a filtrar.
Barregeu un quart de litre de suc de codony per tres quarts de litre d’aiguardent.
Afegiu-hi una mica de canyella, clau i nou moscada al gust, poseu-ho en ampolles, tapeu-ho i al cap de 5 o 6 dies ja es pot beure.",,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Menjar blanc tarragonès,Postres i dolços,"300 g d’ametlles crues.
100 g de midó.
1 branca de canyella.
1 l d’aigua.
150 g de sucre.
1 pell de llimona.
Una mica de sal.","Escaldeu les ametlles, peleu-les i trinxeu-les.
Deixeu-les reposar unes hores dins de l’aigua i coleu-les amb un drap fins que s’escorri tota la llet d’ametlles.
Poseu la llet d’ametlles al foc amb la canyella, el sucre, la sal i la pell de llimona. 
Afegiu-hi el midó diluït amb una mica d’aigua i sense parar de remenar fins que s’espesseixi.
Serviu-ho en safata o en cassoletes.","Es pot fer amb llet d’ametlles ja preparada.
S’hi pot afegir unes quantes ametlles amargues.
Es pot deixar les ametlles dins del líquid, sense colar-lo.
Es pot substituir el midó per farina d’arròs.
Es pot cremar amb sucre com la crema de Sant Josep.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Bròquil arrebossat,Verdures i altres hortalisses,,"Vegeu ESBARGÍNIES ARREBOSSADES

	Es fa com les albergínies arrebossades, però substituint l’albergínia per bròquil, prèviament bullit amb aigua i sal",,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Conill a l'agredolç,Carns,"1 conill tallat a trossos.
1 fulla de llorer.
100 g de sucre.
Mig got de vinagre.
Orenga.
Sal.
Oli.
Llard.","Enrossiu els trossos de conill salpebrats en una cassola amb oli, llard, la fulla de llorer i l’orenga.
Feu un xarop clar amb el sucre i el vinagre en una paella, i aboqueu-lo sobre el conill.
Continueu la cocció a foc molt lent i amb la cassola tapada.
Proveu-ho de sal i deixeu-ho al foc fins que el conill sigui tendre, remenant de tant en quan.","En lloc de sucre s’hi pot posar mel.
A la salsa de vinagre i sucre s’hi pot afegir una mica de canyella en pols. 
Per espessir la salsa s’hi poden afegir ous durs trinxats.
Per donar-li un gust més dolç, s’hi poden afegir pomes cuites.
En comptes de conill, aquest plat es pot fer amb pollastre, amb pernil de porc, amb ànec i sobretot amb animals de caça.
Si veieu que queda molt sec s’hi pot afegir aigua.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Peus i tripa de xai,Carns,"600 g de tripes de corder bullides.
4 peus de corder bullits.
2 cebes trinxades.
2 tomàquets madurs ratllats.
Una fulla de llorer.
2 bitxos.
Mitja copa de vi.
Oli.
Sal.
Aigua.
Per fer la picada:
Un grapadet d’ametlles.
2 grans d’all.
Julivert.
1 culleradeta de farina.
Una mica de vi.","En una cassola amb oli feu un sofregit amb la ceba, els tomàquets, els bitxos i la fulla de llorer.
Afegiu-hi els peus i la tripa i continueu-ho sofregint tot junt.
Tireu-hi el vi i deixeu-lo reduir, afegiu-hi aigua i deixeu-ho bullir fins que els peus i la tripa quedin tous.
Afegiu-hi la picada deixatada amb una mica de vi quan faltin 10 minuts per acabar la cocció.","Es pot afegir xoriç al sofregit.
En lloc d’aigua s’hi pot posar el brou de bullir les tripes.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Bunyols de carbassó,Verdures i altres hortalisses,"½ kg de carbassó.
2 alls.
1 ou.
1 sobre de gasosa.
Farina.
Sal.
Oli.","Talleu el carbassó, sense pelar, a daus petits, saleu-lo i poseu-lo a escórrer una estona.
Afegiu-hi els alls picat i remeneu-ho.
Barregeu l’ou, el sobre de gasosa, la farina i la sal fins que quedi una massa no gaire espessa.
Afegiu-hi el carbassó escorregut i barregeu-ho bé.
Aneu formant bunyols i fregiu-los en oli calent.",En lloc del sobre de gasosa s’hi pot posar sifó o un altre llevat en pols.,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Granotes amb samfaina,Carns,"Les cuixes de 40 granotes.
Samfaina.
Sal.
Pebre.
Oli.","Salpebreu les cuixes de granota, fregiu-les i escorreu-les.
Barregeu-les amb la samfaina i deixeu-ho coure tot junt uns minuts.",,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Capsetes d'Ametlla i clara,Postres i dolços,,Vegeu Capsetes,,"{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Cabra amb cargols,Cargols,"1 ½ kg de cabra de mar.
60 cargols.
2 cebes tallades fines.
3 tomàquets ratllats.
Mitja copa de vi ranci.
Un raig d’anís sec.
1 cullerada de farina.
Un manat d’herbes: llorer, farigola, julivert.
1 branca de canyella.
Oli.
Sal.
Pebre.
Aigua.

Per fer la picada:
Un grapadet d’ametlles i d’avellanes.
Uns brins de safrà.
2 grans d’all.
1 llesca de pa.","Enganyeu els cargols (vegeu Cargols a la cassola).
Feu un sofregit amb la ceba, el manat d’herbes, la canyella i els tomàquets en una cassola amb oli. 
Afegiu-hi la farina, remeneu-ho un parell de minuts, poseu-hi la cabra, els cargols i una mica d’aigua, i deixeu que vagi coent.
Quan faltin cinc minuts per acabar la cocció hi afegiu la picada deixatada amb el vi ranci i l’anís.","S’hi pot posar conill, que caldrà afegir ja cuit en el mateix moment que els cargols i la cabra de mar.","{'Vitamina B1 (mg)': {'Per una ració': '2', 'QDR': '1,4'}, 'Vitamina B2 (mg)': {'Per una ració': '2,92', 'QDR': '1,6'}}"
Coca de catxipanda,,,Vegeu Coca de recapte,,"{'Agua (g)': {'Per una ració': '418', '%QDO': ''}, 'Energía (kcal)': {'Per una ració': '559', '%QDO': '27,95%'}, 'Proteínas (g)': {'Per una ració': '16,3', '%QDO': '32,60%'}, 'Grasa total (g)': {'Per una ració': '12,9', '%QDO': '18,43%'}, 'Hidratos de carbono totales (g)': {'Per una ració': '88,3', '%QDO': '32,70%'}, 'Fibra dietética (g)': {'Per una ració': '12,4', '%QDO': '41,33%'}, 'Grasa saturada (AGS) (g)': {'Per una ració': '2,1', '%QDO': '10,50%'}, 'Grasa monoinsaturada (AGM) (g)': {'Per una ració': '7,3', '%QDO': ''}, 'Grasa poliinsaturada (AGP) (g)': {'Per una ració': '2,1', '%QDO': ''}, 'Colesterol (mg)': {'Per una ració': '0', '%QDO': '0%'}, 'Vitamina C (mg)': {'Per una ració': '95', 'QDR': '60'}, 'Vitamina A (µg)': {'Per una ració': '769', 'QDR': '800'}, 'Niacina (mg)': {'Per una ració': '8,72', 'QDR': '18'}, 'Fòsfor (mg)': {'Per una ració': '224', 'QDR': '800'}, 'Magnesi (mg)': {'Per una ració': '77,6', 'QDR': '300'}}"
Bunyols de cigrons,Llegums,"400 g de cigrons cuits.
60 g de sucre.
1 tassa de llet.
1 ou.
Canyella en pols.
Pell de llimona ratllada.
Un pessic de llevat en pols.
Oli.
Per cobrir els bunyols:
100 g de sucre.
20 g de canyella.","Tritureu amb la batedora els cigrons cuits, la llet, l’ou, la canyella, la ratlladura de llimona i el sucre.
Afegiu-hi el llevat en pols i continueu remenant fins que quedi una massa homogènia i compacta.
Feu els bunyols i fregiu-los amb oli calent abundant, fins que es daurin bé.
A mesura que els tragueu de la paella passeu-los de seguida per una barreja feta de sucre i canyella.",Es pot substituir el llevat en pols per bicarbonat.,"{'Vitamina C (mg)': {'Per una ració': '95', 'QDR': '60'}, 'Vitamina A (µg)': {'Per una ració': '769', 'QDR': '800'}, 'Niacina (mg)': {'Per una ració': '8,72', 'QDR': '18'}, 'Fòsfor (mg)': {'Per una ració': '224', 'QDR': '800'}, 'Magnesi (mg)': {'Per una ració': '77,6', 'QDR': '300'}}"
Civet de cérvol,Carns,"1 kg de cérvol tallat a daus grans.
2 cebes tallades a trossos grans.
2 pastanagues tallades a rodanxes.
1 branca d’api tallada a trossos.
2 porros tallats a rodanxes grans.
400 g de cebetes de platillo.
Llorer.
1 cabeça d’alls.
Julivert.
Vi negre.
Sal.
Pebre.
Timó.
Romaní.
Oli.
Aigua o brou de carn.","Poseu el cérvol a marinar 24 hores amb el vi negre, les verdures i les herbes.
Retireu la carn i escorreu-la bé, recuperant el suc. 
Salpebreu-la, enfarineu-la lleugerament i fregiu-la en una paella amb oli.
Poseu la carn en una cassola de fons gruixut.
Escorreu les verdures i saltegeu-les en el mateix oli de la carn. 
Afegiu-les a la cassola de la carn conjuntament amb el suc de la marinada. 
Deixeu-ho bullir a foc suau amb la cassola tapada fins que la carn s’entendreixi. Afegiu-hi aigua o brou de carn calent si cal. 
Cap al final de la cocció afegiu-hi les cebetes pelades i deixeu-ho acabar de coure tot junt.","Hi ha qui posa vi ranci a la maceració.
Es pot marinar amb vi blanc.
Hi ha qui ho marina amb vi negre i llet.
Si és un animal jove hi ha qui no ho posa a marinar.
Es pot acompanyar de castanyes, patates o bolets (civet de cérvol amb llenegues.
Es pot acompanyar de fruites fresques, com ara poma, i de fruites seques, com ara panses, pinyons, etc.
Es pot acompanyar de patates, cuites cap al final de la cocció de la carn.
Es poden saltar les cebetes prèviament amb cansalada.
A mitja cocció es pot afegir un sofregit abundant de ceba i cansalada.
S’hi pot afegir una picada (ametlles, xocolata, alls, julivert, galetes, etc).
S’hi pot afegir ginebró o pebre roig.
Es pot fer també amb altres carns: isard (civet d’isard), porc senglar (civet de porc senglar) o cabra hispànica (civet de cabra hispànica).
Antigament es posava la sang de l’animal al final de cocció, per lligar la salsa; també s’hi pot posar una presa de xocolata negra.","{'Vitamina C (mg)': {'Per una ració': '95', 'QDR': '60'}, 'Vitamina A (µg)': {'Per una ració': '769', 'QDR': '800'}, 'Niacina (mg)': {'Per una ració': '8,72', 'QDR': '18'}, 'Fòsfor (mg)': {'Per una ració': '224', 'QDR': '800'}, 'Magnesi (mg)': {'Per una ració': '77,6', 'QDR': '300'}}"
Ensalada russa,Amanides i plats freds,"500 g de patates
	300 g de pastanagues
	200 g de pèsols
	200 g de mongeta tendra
	2 ous durs
Maionesa
	Sal
	Aigua","Talleu a daus i peleu les patates i les pastanagues. Afegiu-hi la mongeta tendra, trossejada.

	Feu-ho bullir juntament amb els pèsols.

	Refredeu-ho i barregeu-hi l’ou dur trinxat.

	Després afegiu-hi la maionesa.","La maionesa es pot servir a part.

	S’hi pot afegir tot tipus de verdures.

	També s’hi pot afegir olives i tonyina en oli.","{'Agua (g)': {'Per una ració': '216', '%QDO': ''}, 'Energía (kcal)': {'Per una ració': '274', '%QDO': '13,70%'}, 'Proteínas (g)': {'Per una ració': '9', '%QDO': '18%'}, 'Grasa total (g)': {'Per una ració': '14,4', '%QDO': '20,57%'}, 'Hidratos de carbono totales (g)': {'Per una ració': '24,3', '%QDO': '9%'}, 'Fibra dietética (g)': {'Per una ració': '5,8', '%QDO': '19,33%'}, 'Grasa saturada (AGS) (g)': {'Per una ració': '2,6', '%QDO': '13%'}, 'Grasa monoinsaturada (AGM) (g)': {'Per una ració': '3,9', '%QDO': ''}, 'Grasa poliinsaturada (AGP) (g)': {'Per una ració': '6,7', '%QDO': ''}, 'Colesterol (mg)': {'Per una ració': '121', '%QDO': '40,33%'}, 'Vitamina A (µg)': {'Per una ració': '1058', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per una ració': '0,496', 'QDR': '1'}}"
